index,Title,imdbID,Writer,Plot,Awards,Metascore,Type
0,Intolerance: Love's Struggle Throughout the Ages,tt0006864,"D.W. Griffith (scenario), Anita Loos (titles)","The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.",1 win.,92,movie
1,Over the Hill to the Poorhouse,tt0011549,"Will Carleton (based on the poem by), Paul Sloane (scenario)","The mother of a large family is abandoned by her children and faces consignment to the poorhouse. But one of her offspring, the one no one had faith in, returns to rescue her.",N/A,N/A,movie
2,The Big Parade,tt0015624,"Laurence Stallings (story), Harry Behn (scenario), Joseph Farnham (titles)",A young American soldier witnesses the horrors of the Great War.,3 wins.,N/A,movie
3,Metropolis,tt0017136,"Thea von Harbou (screenplay), Thea von Harbou (novel)","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",6 wins & 5 nominations.,98,movie
4,The Broadway Melody,tt0019729,"Edmund Goulding (story), Sarah Y. Mason (continuity), Norman Houston (dialogue), James Gleason (dialogue)","A pair of sisters from the vaudeville circuit try to make it big time on Broadway, but matters of the heart complicate the attempt.",Won 1 Oscar. Another 2 nominations.,N/A,movie
5,Pandora's Box,tt0018737,"Frank Wedekind (plays), Ladislaus Vajda (scenario)",The rise and inevitable fall of an amoral but naive young woman whose insouciant eroticism inspires lust and violence in those around her.,1 nomination.,N/A,movie
6,Hell's Angels,tt0020960,"Marshall Neilan (story), Joseph Moncure March (story), Howard Estabrook (adaptation), Harry Behn (adaptation), Joseph Moncure March (dialogue written by)",Brothers Monte and Ray leave Oxford to join the Royal Flying Corps. Ray loves Helen; Helen enjoys an affair with Monte; before they leave on their mission over Germany they find her in still another man's arms.,N/A,N/A,movie
7,A Farewell to Arms,tt0022879,"Benjamin Glazer (screenplay), Oliver H.P. Garrett (screenplay), Ernest Hemingway (novel)",An American ambulance driver and an English nurse fall in love in Italy during World War I.,Won 2 Oscars. Another 1 win & 2 nominations.,N/A,movie
8,She Done Him Wrong,tt0024548,"Mae West (by), Harvey F. Thew (screen play), John Bright (screen play)","In the Gay Nineties, a seductive nightclub singer contends with several suitors, including a jealous escaped convict and a handsome temperance league member.",Nominated for 1 Oscar. Another 2 wins.,N/A,movie
9,42nd Street,tt0024034,"Rian James (screen play), James Seymour (screen play), Bradford Ropes (based on the novel by)","A director puts on what may be his last Broadway show and, at the last moment, a naive newcomer has to replace the star.",Nominated for 2 Oscars. Another 1 win.,N/A,movie
